NAME,P0,P1
J1225-6035,0.626324,2.88e-16
B1222-63,0.419619,9.33e-16
J1226+0005,2.285076,2.47e-15
J1226-3223,6.193004,7.05e-15
J1227-4853,0.001686,1.11e-20
J1227-6208,0.034528,1.86e-19
J1227-63,0.444578,
J1231-1411,0.003684,2.26e-20
J1231-4609,0.877239,3.49e-17
J1231-5113,0.206612,1.17e-16
J1231-5929,0.409834,
J1231-6303,1.351236,1.32e-16
J1231-6511,0.247525,2.84e-14
J1232-4742,1.872994,1.4e-17
J1232-5843,0.285318,
J1232-6501,0.088282,8.11e-19
J1233-6312,0.564759,6.92e-15
J1233-6344,0.756892,3.88e-15
J1234-3630,0.569242,8.66e-16
B1232-55,0.638234,
J1235-6354,0.256778,1.97e-16
J1236-0159,3.597574,5.1e-15
J1236-5033,0.29476,1.55e-16
J1236-65,0.100565,
J1237-6725,2.110974,2.19e-15
J1238+2152,1.118591,1.45e-15
J1239+0326,0.858327,4.36e-16
B1237+25,1.382449,9.6e-16
J1239+3239,0.0047,
J1239-48,0.6539,
B1236-68,1.301924,1.19e-14
B1237-41,0.512244,1.74e-15
J1242+39,1.31,
J1242-4712,0.005313,2.14e-20
J1243+17,1.2165,
J1243-5735,0.471225,8e-17
B1240-64,0.388485,4.49e-15
J1244-1812,3.425324,1.48e-15
J1244-4708,1.411433,9.97e-16
J1244-5053,0.275207,1e-15
J1244-6359,0.147274,4.4e-18
J1244-6437,0.212905,
J1244-6531,1.546819,7.18e-15
J1245-6238,2.283093,1.09e-14
J1246+2253,0.473871,8.89e-17
J1248-6344,0.198335,1.69e-14
J1248-6444,1.234893,1.93e-15
J1249-6507,0.434445,1.21e-17
J1251-7407,0.327058,3.65e-16
J1252+53,0.220104,
J1252-6314,0.823339,1.15e-16
J1253-5820,0.255498,2.1e-15
J1254-6150,0.184502,6.24e-16
J1255-46,0.052,
J1255-6131,0.657974,4e-15
J1255-62,0.182912,
B1254-10,0.617308,3.63e-16
B1256-67,0.66333,8.57e-16
B1257+12,0.006219,1.14e-19
J1300-6602,1.143316,3.35e-16
J1301+0833,0.001844,1.06e-20
J1301-6305,0.184528,2.67e-13
J1301-6310,0.66383,5.64e-14
J1302-3258,0.003771,6.540000000000001e-21
J1302-63,0.325724,
J1302-6313,0.967846,6.33e-15
B1259-63,0.047763,2.28e-15
J1303+38,0.3963,
J1303-62,0.419416,
J1303-6305,2.306642,2.18e-15
J1304+12,0.00418,
J1305-6203,0.427774,3.22e-14
J1305-6256,0.478231,2.11e-15
B1302-64,0.571652,4.02e-15
J1305-66,0.197276,
J1306-4035,0.002205,
J1306-60,1.783181,
J1306-6043,0.005671,
J1306-6242,0.981902,5.86e-15
B1303-66,0.473028,5.98e-15
J1307-6318,4.962427,2.11e-14
J1307-67,3.6512,
J1308+2127,10.312522,1.12e-13
J1308-23,0.00283,
J1308-4650,1.058833,5.26e-16
J1308-5844,0.4647,8.64e-15
J1309-6415,0.619454,8.79e-15
J1309-6526,0.398292,1.84e-17
J1310-63,0.185667,
B1309-12,0.447518,1.51e-16
J1311-3430,0.00256,2.1e-20
J1312+0051,0.004228,1.75e-20
B1310+18,0.033163,
J1312+1810B,0.006242,-1.75e-20
J1312+1810C,0.012535,5.26e-20
J1312+1810D,0.00607,2.26e-20
J1312+1810E,0.003972,-7.57e-21
B1309-53,0.728154,1.47e-16
B1309-55,0.849243,5.7e-15
J1312-6400,2.437433,6.78e-16
J1313+0931,0.848933,8e-16
J1314-6101,2.94839,1.17e-14
J1316-6147,1.9326,
J1316-6232,0.342825,5.3e-15
J1317-0157,0.002908,5.5000000000000005e-21
J1317-5759,2.642199,1.26e-14
J1317-6302,0.261271,1.02e-16
B1316-60,0.284353,1.53e-15
J1319-6105,0.421118,1.5e-15
J1320+67,1.02862,
J1320-3512,0.458488,5.26e-19
B1317-53,0.279738,9.25e-15
B1322+83,0.670037,5.66e-16
J1321-5922,1.279058,2.37e-15
J1322-62,1.044851,
J1322-6241,0.506058,2.59e-15
J1322-6329,2.764209,1.11e-14
J1324-6146,0.844109,5.58e-15
J1324-6302,2.483804,9.79e-16
J1325-6253,0.028969,4.8e-20
J1326+33,0.0415,
J1326-4728A,0.004109,2.74e-20
J1326-4728B,0.004792,-5.43e-20
J1326-4728C,0.006868,9.810000000000001e-21
J1326-4728D,0.004579,-4.11e-20
J1326-4728E,0.004208,1.63e-20
B1323-58,0.477994,3.25e-15
B1323-63,0.792674,3.09e-15
B1322-66,0.543016,5.32e-15
J1327+3423,0.041513,1.29e-19
J1327-0755,0.002678,1.8000000000000003e-21
B1323-62,0.529929,1.88e-14
B1323-627,0.19648,1.53e-15
J1327-6400,0.280678,3.12e-14
B1325-43,0.532703,3.04e-15
B1325-49,1.478721,6.1e-16
J1328-62,0.528858,
J1328-6605,0.734367,
J1329+13,,
J1329-6158,1.565218,3.39e-14
J1331-5245,0.648117,5.1e-16
J1332-03,1.1064,
J1332-3032,0.650434,5.6e-16
J1333-4449,0.345603,5.4e-19
J1333-61,1.532135,
J1334+10,0.9111,
J1334-5839,0.107718,2.15e-17
J1335-3642,0.399192,
J1335-5656,0.003238,1.21e-20
J1336+33,3.013,
J1336-2522,0.478145,3.31e-16
J1337-4441,1.257511,3.03e-16
J1337-6306,0.207953,3.56e-16
J1337-6423,0.009423,2.47e-20
B1334-61,1.239003,1.38e-14
J1338-6425,0.004088,
J1339-4712,0.137055,4.96e-19
J1339-6618,0.558179,3.5e-16
B1336-64,0.378629,5.06e-15
J1341-6023,0.627299,1.95e-14
B1338-62,0.19334,2.53e-13
J1342+2822A,0.002545,
J1342+2822B,0.002389,1.86e-20
J1342+2822C,0.002166,
J1342+2822D,0.005443,
J1342+2822E,0.00547,
J1342+2822F,0.0044,
J1343+6634,1.394104,1.09e-15
J1344-5855,0.252398,2.91e-15
J1344-6059,0.540102,4.3e-17
J1345-6115,1.253087,3.25e-15
J1346-4918,0.299625,3.45e-17
J1347-5947,0.609972,1.42e-14
J1348-62,0.616257,
J1348-6307,0.927772,3.79e-15
J1349-6130,0.259365,5.12e-15
J1349-63,0.373034,
J1350-5115,0.2957,7.58e-16
J1350-6225,0.138158,8.88e-15
J1352-6141,0.004738,
J1352-6803,0.628903,1.23e-15
J1353-6341,2.0762,
J1354+2453,0.851064,1.4e-16
J1354+2454,0.8508,
J1354-6249,2.951938,1.48e-14
B1352-51,0.644305,2.81e-15
J1355-5747,2.038674,7.07e-16
J1355-5925,1.213385,5.98e-15
J1355-6206,0.276603,3.1e-18
J1356-5521,0.50738,7.24e-16
J1357-2530,0.912971,
B1353-62,0.455761,
J1357-6429,0.166308,3.61e-13
J1358-59,0.37412,
J1358-6025,0.060533,3.02e-15
B1356-60,0.127509,6.33e-15
J1359-6242,0.899747,
J1400+21,,
J1400-1431,0.003084,7.23e-21
J1400-6325,0.031182,3.89e-14
B1358-63,0.842805,1.68e-14
J1402+1306,0.005892,1.35e-20
B1359-51,1.380182,5.41e-15
J1403-0314,0.362634,
J1403-6310,0.39917,8.59e-17
J1403-7646,1.306199,1.2e-15
J1404+1159,2.650439,1.38e-15
J1405-4656,0.007602,2.79e-20
J1405-5641,0.617575,1.2e-15
J1406-4233,2.436795,6.81e-16
J1406-5806,0.28835,6.14e-16
J1406-59,1.248312,
J1406-6121,0.213075,5.47e-14
J1407-6048,0.492344,3.16e-15
J1407-6153,0.701615,8.85e-15
J1408-6009,0.567635,
J1409+49,1.125,
J1409-6011,0.300581,
J1409-6953,0.528591,8.4e-16
J1410-6132,0.050052,3.2e-14
J1410-7404,0.278729,6.8e-18
J1411+2551,0.062453,9.6e-20
J1412+7922,0.058199,3.29e-15
J1412-6111,0.529158,1.9e-15
J1412-6145,0.315258,9.9e-14
J1413-5936,0.021676,
J1413-6141,0.285625,3.33e-13
J1413-6205,0.109741,2.77e-14
J1413-6222,0.292408,2.23e-15
B1409-62,0.394953,7.48e-15
J1414-6802,4.630188,6.39e-15
J1415-6621,0.392479,5.78e-16
J1416-5033,0.794883,1.2e-16
J1416-6037,0.295584,4.29e-15
J1417-4402,0.002664,
J1418-3921,1.096807,8.85e-16
J1418-5945,1.672596,2.71e-16
J1418-6058,0.110573,1.69e-13
B1417-54,0.935772,2.32e-16
J1420-5625,0.034117,6.75e-20
J1420-6048,0.06818,8.32e-14
J1421-4409,0.006386,1.24e-20
J1422-6138,0.340968,9.68e-14
J1423-62,1.671473,
J1423-6953,0.333411,1.45e-15
J1424-5556,0.770375,7.8e-16
J1424-56,1.427,
J1424-5822,0.366737,3.95e-15
J1424-6438,1.023504,2.4e-16
J1425-5723,0.353263,2.2e-17
J1425-5759,0.707868,7.42e-16
J1425-6210,0.50173,4.78e-16
J1426+52,0.9958,
J1426-6136,0.2837,
J1427-4158,0.586486,6.21e-16
B1424-55,0.570293,2.09e-15
J1429-5911,0.115843,3.05e-14
J1429-5935,0.763915,4.28e-14
J1430-5712,0.491519,4.69e-14
B1426-66,0.785443,2.78e-15
J1431-4715,0.002012,1.41e-20
J1431-5740,0.004111,6.420000000000001e-21
J1431-6328,0.002772,
J1432-5032,2.034989,5.92e-15
J1433+00,,
J1433-6038,1.95443,5.63e-15
J1434+7257,0.041741,5.48e-19
J1434-5943,1.072121,2.96e-17
J1434-6006,0.306368,3.02e-15
J1434-6029,0.963348,1.03e-15
J1435-5954,0.472997,1.55e-15
J1435-60,3.262166,
J1435-6100,0.009348,2.45e-20
J1436-6405,0.009333,
J1437-5959,0.061696,8.59e-15
J1437-6146,0.467616,6.33e-15
J1437-62,0.777994,
J1439+7655,0.947903,
J1439-5501,0.028635,1.42e-19
B1436-63,0.459607,1.12e-15
J1441-6137,1.17584,3.6e-16
J1443-5122,0.732061,3.46e-16
J1444+18,1.1326,
J1444-5941,2.760228,8.23e-15
J1444-6026,4.758576,1.85e-14
J1445-63,0.003719,
J1446-4701,0.002195,9.810000000000001e-21
J1447-5757,0.15873,1.17e-14
J1449-5846,0.46333,8.6e-17
J1449-6339,0.029466,
J1452-5549,0.075253,
J1452-5851,0.386643,5.07e-14
J1452-6036,0.154992,1.45e-15
J1453+1902,0.005792,1.17e-20
B1449-64,0.179487,2.74e-15
J1454-5416,0.396459,
J1454-5846,0.045249,8.17e-19
J1455-3330,0.007987,2.43e-20
J1455-59,0.176191,
J1456-48,0.53681,
B1451-68,0.263377,9.89e-17
B1454-51,1.748308,5.3e-15
J1457-5900,1.498637,3.66e-15
J1457-5902,0.390739,1.23e-14
J1459-6053,0.103151,2.53e-14
J1500-6054,0.213661,
J1501-0046,0.464037,2.39e-16
J1501-5637,0.782949,1.7e-16
J1502+28,3.784,
J1502+4653,1.752508,1.72e-16
J1502-5653,0.535506,1.83e-15
J1502-5828,0.668105,3.64e-14
J1502-6128,0.842104,1.36e-15
J1502-6752,0.026744,3.15e-19
J1503+2111,3.314002,1.4e-16
J1504-5621,0.412985,5.53e-15
J1504-5659,1.672372,1.43e-15
J1505-2524,0.999,
B1503-51,0.840739,6.37e-15
B1504-43,0.286759,1.58e-15
J1507-5800,0.897254,2.6e-16
B1503-66,0.355656,1.15e-15
B1508+55,0.739682,5e-15
J1509-5850,0.088925,9.17e-15
J1509-6015,0.339038,2.12e-15
B1507-44,0.943871,6.1e-16
J1510-5254,0.004779,
J1511-5414,0.200384,4.85e-16
J1511-5835,0.301511,3.44e-16
J1512-5431,2.040533,1.96e-15
B1508-57,0.128699,6.85e-15
J1512-6029,0.229595,
J1513-2550,0.002119,2.16e-20
J1513-5739,0.973478,2.75e-14
B1509-58,0.151582,1.53e-12
J1513-5946,1.046117,8.53e-15
J1513-6013,1.958737,1.37e-15
B1510-48,0.45484,9.26e-16
J1514-4946,0.003589,1.86e-20
J1514-5316,0.296279,1.6e-18
J1514-5925,0.148797,2.88e-15
J1515+20,1.147,
J1515-5720,0.286648,6.09e-15
J1516-43,0.036022,
J1517-313,0.140668,
J1517-314,1.103726,
J1517-32,0.064402,
J1517-4356,0.650837,2.15e-16
J1517-4636,0.886613,2.1e-15
B1516+02A,0.005554,4.13e-20
B1516+02B,0.007947,-3.3100000000000003e-21
J1518+0204C,0.002484,2.61e-20
J1518+0204D,0.002988,2.22e-20
J1518+0204E,0.003182,1.79e-20
J1518+0204F,0.002654,2.21e-20
J1518+0204G,0.00275,1.25e-20
J1518+4904,0.040935,2.72e-20
J1518-0627,0.794997,4.18e-16
J1518-3952,0.499196,2.37e-16
J1518-5415,0.214925,4.06e-17
J1518-60,0.510656,
J1519-5734,0.518758,4.27e-15
J1519-6106,2.154307,8.37e-15
J1519-6308,1.254052,6e-15
J1520-5402,0.270699,
J1521-57,0.173682,
J1522-5525,1.389605,3.3e-15
J1522-5735,0.102136,3.12e-14
B1518-58,0.395355,2.06e-15
J1523-3235,1.504835,9.53e-16
J1524-5625,0.078244,3.9e-14
J1524-5706,1.116174,3.56e-13
J1524-5819,0.961043,1.26e-13
J1525-5417,1.011694,1.62e-14
J1525-5523,0.355156,8.96e-18
J1525-5545,0.01136,1.31e-19
J1525-5605,0.280349,1.16e-16
J1526-2744,0.002489,3.5500000000000005e-21
J1526-5633,0.301888,1.23e-16
J1526-5652,0.848913,
B1524-39,2.417605,1.91e-14
B1523-55,1.04872,1.13e-14
J1528-3146,0.060822,2.49e-19
J1528-4109,0.526556,4e-16
J1528-5547,3.467302,7.75e-15
J1528-5838,0.355687,2.48e-14
J1529+40,0.4764,
J1529-26,0.799,
J1529-3828,0.008486,2.7e-20
J1529-5102,1.268454,
J1529-5355,0.891265,8.1e-16
J1529-5609,0.036032,
J1529-5611,0.822249,4.1e-15
J1530-2114,0.505,
J1530-5327,0.27896,4.68e-15
J1530-5724,0.56803,
J1530-6343,0.91032,8.26e-16
J1531-4012,0.356849,9.6e-17
J1531-5610,0.084211,1.38e-14
B1530+27,1.124836,7.8e-16
J1532-5308,0.443825,6.5e-17
J1532-56,0.522977,
J1534-4428,1.221426,1.83e-16
J1534-46,0.364835,
B1530-53,1.368882,1.43e-15
B1530-539,0.28969,1.55e-15
J1535-4114,0.432869,4.07e-15
J1535-4415,0.468402,4.05e-17
J1535-5450,0.566734,1.43e-14
J1535-5848,0.307179,2.72e-15
J1536+17,0.9333,
J1536-30,1.901,
J1536-3602,1.319759,7.9e-16
J1536-4948,0.00308,2.12e-20
J1536-5433,0.881438,1.91e-15
J1536-5907,0.557841,1.37e-15
J1536-6142,0.369501,
J1536-6149,0.006875,
B1534+12,0.037904,2.42e-18
J1537-4912,0.301312,1.94e-15
J1537-5153,1.528124,4.17e-15
J1537-5312,0.006927,1.59e-20
J1537-5645,0.430464,2.78e-15
J1537-61,0.369501,
J1538+2345,3.449385,6.89e-15
J1538-5438,0.276726,1.42e-15
J1538-5519,0.395731,4.1e-17
J1538-5551,0.104676,3.21e-15
J1538-5621,1.908494,7.31e-15
J1538-5638,0.84398,7.12e-15
J1538-5732,0.341216,4.53e-15
J1538-5750,0.506568,4.2e-17
J1539-4828,1.272842,1.27e-15
J1539-5521,1.004958,7.28e-16
B1535-56,0.243395,4.85e-15
J1539-6322,1.630846,2.02e-16
J1540-5736,0.612916,4.21e-16
J1540-5821,3.47472,
J1541+4703,0.277701,2.1e-16
J1541-42,,
J1541-5535,0.295838,7.5e-14
J1542-5034,0.599249,4.04e-15
J1542-5133,1.783865,5.89e-16
J1542-5303,1.207621,7.78e-14
B1541+09,0.748449,4.32e-16
B1540-06,0.709065,8.8e-16
J1543-5013,0.644255,1.01e-14
J1543-5149,0.002057,1.6200000000000002e-21
J1543-5439,0.004312,
J1543-5459,0.377138,5.21e-14
J1544+4937,0.002159,2.8000000000000004e-21
J1544-0713,0.48413,1.14e-15
B1541-52,0.178554,6.03e-17
J1545-4550,0.003575,5.25e-20
J1546-3747A,0.002606,
J1546-5302,0.580848,1.18e-14
J1546-5925,0.007797,1.61e-20
J1547-0944,1.576925,2.94e-15
J1547-5056,0.452782,
J1547-5709,0.004291,7.45e-21
J1547-5750,0.647198,2.56e-17
J1547-5839,0.242191,5.91e-16
J1548-4821,0.145655,1.15e-19
J1548-4927,0.602741,4.05e-15
J1548-55,0.541382,
J1548-5607,0.170942,1.07e-14
J1549+2113,1.262471,8.54e-16
J1549-4848,0.288355,1.41e-14
J1549-5337,0.003317,
J1549-57,0.7375,
J1549-5722,0.497772,4.7e-17
J1550-5242,0.749671,1.78e-14
J1550-5317,1.421124,9.35e-16
J1550-5418,2.069833,2.32e-11
J1551-0658,0.007094,2.05e-20
J1551-4424,0.67406,1.84e-16
J1551-5310,0.453448,1.95e-13
J1551-6214,0.198839,2.28e-17
J1552+5437,0.002428,2.8000000000000004e-21
J1552-4937,0.006284,1.9e-20
B1550-54,1.081347,1.57e-14
J1554+18,,
J1554-4854,0.464779,
J1554-5209,0.12523,2.29e-15
J1554-5512,3.418039,3.12e-14
J1554-5906,0.008702,
J1555+01,,
J1555-0515,0.97541,2.05e-15
B1552-23,0.532578,6.94e-16
J1555-2908,0.001788,4.45e-20
B1552-31,0.51811,6.22e-17
J1555-53,1.170896,
J1556-52,1.170894,
J1556-5358,0.994681,1.04e-14
J1557-4258,0.329187,3.3e-16
J1557-5151,0.408155,7.54e-17
J1557-54,0.583758,
J1558-5419,0.594575,6.04e-15
J1558-5756,1.122342,1.86e-13
J1558-67,0.267268,
J1559-44,1.16989,
B1556-44,0.257057,1.02e-15
J1559-55,1.300737,
B1555-55,0.957267,1.99e-14
J1600-3053,0.003598,9.500000000000001e-21
J1600-49,0.287526,
B1557-50,0.192606,5.06e-15
B1556-57,0.194456,2.13e-15
J1600-5916,1.247666,8.87e-16
J1601-50,0.860777,
J1601-5244,2.559357,7.21e-16
J1601-5335,0.288479,6.23e-14
J1602+3901,0.003708,
J1602-1009,0.003116,4.77e-21
J1602-4957,0.81999,1.59e-14
B1558-50,0.864297,6.94e-14
J1603+18,0.503,
J1603-1655,0.7147,
J1603-2531,0.283071,1.59e-15
B1600-27,0.778316,3.01e-15
J1603-3539,0.141909,1.24e-16
J1603-5312,0.839221,4.96e-14
J1603-54,0.960792,
J1603-5657,0.49608,2.78e-15
J1603-7202,0.014842,1.56e-20
J1604-0057,1.675869,9.27e-16
J1604-3142,0.88389,2.65e-17
J1604-44,1.3892,
J1604-4718,0.527466,4.96e-15
J1604-4832,0.007718,
B1600-49,0.327419,1.02e-15
J1604-7203,0.341403,8.4e-17
J1605+3249,6.88,
J1605-52,2.193373,
J1605-5215,1.013609,4.75e-15
J1605-5228,2.193373,
B1601-52,0.658013,2.56e-16
B1604-00,0.421816,3.06e-16
J1607-5140,0.342723,2.54e-15
J1607-6449,0.298116,2.49e-17
J1609-1930,1.557917,5.09e-16
J1609-4616,0.249609,5e-16
J1609-5158,1.279402,1.3e-14
B1607-13,1.018393,2.3e-16
J1610-17,,
J1610-4938,0.227419,
J1610-5006,0.481119,1.36e-14
J1610-5303,0.786468,2.62e-15
J1611-01,1.29687,
J1611-0114,2.593726,4.08e-15
J1611-29,0.0096,
J1611-4811,1.29685,1.95e-15
J1611-4949,0.666438,5.31e-16
B1607-52,0.182495,5.17e-15
J1611-5847,0.35455,2.01e-18
J1612+2008,0.426646,3.73e-17
J1612-2408,0.923834,1.57e-15
J1612-49,0.192687,
J1612-5022,1.368283,3.4e-17
J1612-5136,0.483311,3.78e-15
J1612-53,0.732121,
J1612-55,0.846907,
J1612-5805,0.615521,9.34e-16
B1609-47,0.382377,6.34e-16
J1613-5211,0.457516,1.92e-14
J1613-5234,0.655221,6.63e-15
B1612+07,1.206803,2.36e-15
J1614-2230,0.003151,9.620000000000001e-21
J1614-2318,0.033504,5.15e-20
J1614-3846,0.464106,9.2e-16
J1614-3937,0.407292,1.59e-16
J1614-4608,0.888793,
B1610-50,0.231694,4.95e-13
J1614-5144,1.534008,7.44e-15
J1614-52,0.509903,
J1614-5402,0.572592,2.9e-17
B1612-29,2.477568,1.58e-15
J1615-4958,0.558258,1.46e-15
J1615-5137,0.179278,1.06e-14
J1615-5444,0.360958,3.38e-16
B1611-55,0.791528,2e-15
J1615-5609,0.003359,
J1616-5017,0.491384,4.66e-14
J1616-5109,1.219594,1.91e-14
J1616-5208,1.025831,2.89e-14
J1617+1123,0.894924,3.02e-16
J1617-4216,3.428479,1.82e-14
J1617-4608,0.56708,1.65e-14
J1617-5055,0.069357,1.35e-13
J1618-36,0.005779,
J1618-3921,0.011987,5.38e-20
J1618-42,1.867136,
J1618-4624,0.005931,3.1000000000000002e-21
J1618-4723,0.407109,4.06e-15
J1619+3953,1.883798,1.23e-15
J1619-3345,1.1586,
J1619-42,1.023152,
J1620-4927,0.171935,1.05e-14
J1620-5414,1.15636,6.74e-17
J1621-5039,1.084029,1.3e-14
J1621-5243,0.371925,7.6e-16
J1622-0315,0.003845,1.14e-20
J1622-3751,0.731463,2.57e-15
J1622-4332,0.916939,1.56e-15
J1622-4347,0.457681,5.05e-15
J1622-4802,0.265072,3.14e-16
J1622-4845,0.735092,1.1e-16
J1622-4944,1.072968,1.71e-14
J1622-4950,4.32702,2.78e-12
J1622-6617,0.023623,5.88e-20
J1623-0841,0.503015,1.96e-15
B1620-09,1.276448,2.58e-15
B1620-26,0.011076,6.71e-19
B1620-42,0.364591,1.01e-15
J1623-4608,0.866306,
J1623-4931,0.492347,
J1623-4949,0.725762,4.2e-14
J1623-5005,0.085072,4.16e-15
J1623-6936,0.00241,9.06e-21
J1624+5850,0.651801,3.31e-16
J1624+8643,0.395763,2.55e-16
J1624-39,0.00296,
J1624-4041,0.167861,4.72e-15
J1624-4411,0.233165,7.99e-16
J1624-4613,0.871243,6.07e-17
J1624-4721,0.448723,4.15e-15
J1625-0021,0.002834,2.13e-20
J1625-4048,2.355278,4.43e-16
J1625-4904,0.460339,1.68e-14
J1625-4913,0.355856,6.65e-15
J1626-44,0.308354,
J1626-4537,0.370147,8.29e-15
J1626-4807,0.293928,1.75e-14
J1626-6621,0.450868,7.66e-16
J1627+1419,0.490857,3.93e-16
J1627+3219,0.002183,5.480000000000001e-21
J1627-4706,0.140746,1.73e-15
J1627-4845,0.612331,3.64e-15
J1627-49,0.623678,
J1627-51,0.439684,
J1627-5547,0.352465,7.36e-16
J1627-5936,0.354234,7.83e-18
J1628+4406,0.181178,1.94e-17
J1628-3205,0.003212,1.2e-20
J1628-46,0.449439,
J1628-4804,0.865971,1.24e-15
J1628-4828,4.137539,1.75e-14
J1629+33,1.525,
J1629-3636,2.988193,7e-15
J1629-3825,0.526365,4.44e-16
J1629-6902,0.006001,1e-20
J1630+3550,0.003229,2.26e-20
J1630+3734,0.003318,1.07e-20
J1630-2609,1.91242,1.57e-15
J1630-4719,0.559081,1.42e-14
B1626-47,0.575971,2.23e-14
J1631+1252,0.310186,4.03e-17
J1631-1612,0.677684,1.1e-15
J1631-4155,0.551241,8.81e-18
J1631-47,1.103326,
J1631-4722,0.118719,5.56e-14
J1632-1013,0.717637,6.6e-17
J1632-4509,1.04681,1.49e-14
J1632-4621,1.709208,7.59e-14
J1632-4757,0.228569,1.51e-14
J1632-4818,0.813672,6.49e-13
J1632-49,0.416836,
J1633-2009,0.935557,1.07e-15
B1630-44,0.436507,6.2e-15
J1633-4805,0.71083,7.69e-14
J1633-4859,2.51478,
B1629-50,0.352145,3.79e-15
J1634+02,0.00212,
J1634-4229,2.015263,8.01e-15
J1634-49,0.684936,
J1634-495,0.356715,
J1634-5107,0.507356,1.57e-15
J1634-5640,0.224201,4.16e-17
J1635+2332,1.208694,8.63e-16
B1633+24,0.490507,1.19e-16
J1635-1511,1.179387,2.32e-16
J1635-4513,1.594746,3.6e-15
J1635-46,1.488903,
J1635-47,0.504831,
J1635-4735,2.594578,
J1635-4944,0.671964,8.79e-15
B1630-59,0.529123,1.36e-15
J1636-2614,0.510454,4.06e-15
J1636-4217,0.555086,
J1636-4440,0.206649,4.67e-14
J1636-4803,1.204644,2.07e-14
J1636-4933,0.430367,1.51e-15
J1636-51,0.340106,
J1637-4335,0.771367,3.62e-15
J1637-4450,0.25287,5.74e-16
B1634-45,0.118774,3.19e-15
J1637-46,0.493091,
J1637-4642,0.154066,5.94e-14
J1637-4721,1.165741,4.44e-15
J1637-4816,0.837365,5.83e-15
J1638+4005,0.76772,1.83e-16
J1638-35,0.705,
J1638-3815,0.698261,7.71e-17
J1638-3951,0.77113,5.9e-16
J1638-4233,0.510929,1.01e-14
J1638-4344,1.121944,2.5e-17
J1638-44,0.568057,
J1638-4417,0.117803,1.61e-15
J1638-4608,0.278155,5.15e-14
J1638-47,0.426668,
J1638-4713,0.06574,4.41e-14
J1638-4725,0.763933,4.79e-15
J1638-5226,0.340504,2.65e-15
J1639-1126,1.430695,2.42e-15
J1639-4359,0.587559,1.5e-17
J1639-46,0.519137,
B1635-45,0.529121,5.77e-15
J1640+2224,0.003163,2.82e-21
J1640-4631,0.206443,9.76e-13
J1640-4648,0.178352,8.06e-16
B1636-47,0.517445,4.21e-14
J1640-4951,0.739099,3.34e-16
B1639+36A,0.010378,-7.27e-20
B1639+36B,0.003528,-1.49e-22
J1641+3627C,0.003722,1.2300000000000002e-21
J1641+3627D,0.003118,-2.35e-20
J1641+3627E,0.002487,1.74e-20
J1641+3627F,0.003004,1.4e-20
J1641+8049,0.002021,9.790000000000001e-21
J1641-2347,1.091008,4.11e-17
J1641-49,0.79519,
J1641-5317,0.175106,3.7e-15
J1643+1338,1.099047,7.78e-16
J1643-10,,
J1643-1224,0.004622,1.85e-20
J1643-4505,0.23739,3.18e-14
J1643-4522,1.347899,8.28e-15
J1643-4550,0.717528,3e-14
J1644-33,0.397,
J1644-44,0.173911,
B1641-45,0.455078,2.01e-14
J1644-46,0.250941,
J1644-4657,0.125962,7.5e-16
J1645+1012,0.410861,8.13e-17
B1642-03,0.387692,1.78e-15
J1645-4836,1.66008,
J1646-1910,4.817736,1e-14
J1646-2142,0.005853,8.310000000000001e-21
J1646-4308,0.84068,1.1e-16
B1643-43,0.231603,1.13e-13
J1646-4406,,
J1646-4545,0.431784,2.78e-16
J1646-5123,0.530075,2.1e-15
B1641-68,1.785614,1.7e-15
J1647+6608,1.599798,7.84e-15
J1647+6609,1.599799,7.85e-15
J1647-3607,0.212316,1.29e-16
J1647-4552,10.610656,8.33e-13
J1647-49,0.247528,
J1648-3256,0.719458,3.52e-15
J1648-4458,0.629632,1.85e-15
J1648-4611,0.164966,2.37e-14
J1648-6044,0.583765,4.33e-16
J1649+2533,1.015257,5.59e-16
J1649-3012,0.003424,1.33e-20
J1649-3752,0.587242,
J1649-3805,0.262026,3.57e-17
J1649-3935,0.77091,3.91e-17
J1649-4230,0.67641,
J1649-4349,0.870712,4.66e-17
J1649-4653,0.557036,4.96e-14
J1649-4729,0.297692,6.55e-15
J1649-5553,0.613571,1.7e-15
J1650-1654,1.749554,3.2e-15
J1650-4126,0.308918,2e-17
J1650-4341,0.309398,1.67e-17
J1650-4502,0.38087,1.61e-14
J1650-4601,0.127123,1.51e-14
J1650-4921,0.1564,1.82e-15
J1650-5025,0.059676,
J1651+14,0.828,
B1648-17,0.973396,3.04e-15
B1648-42,0.844081,4.83e-15
J1651-4519,0.517443,8.19e-15
J1651-46,0.569352,
B1647-52,0.635058,1.81e-15
B1647-528,0.890537,2.12e-15
J1651-7642,1.755312,1.36e-15
J1652+2651,0.915803,6.54e-16
J1652-1400,0.305447,1.73e-17
B1649-23,1.703739,3.16e-15
J1652-4237,0.496548,
J1652-4406,7.707183,9.5e-15
J1652-4838,0.003785,
J1652-5154,0.599681,
J1653-0158,0.001968,2.4000000000000003e-21
J1653-2054,0.004129,1.12e-20
B1650-38,0.30504,2.79e-15
J1653-4030,1.019372,4.36e-16
J1653-4105,0.498978,5.41e-17
J1653-4249,0.612558,4.81e-15
J1653-4315,0.41928,1.5e-17
J1653-45,0.950977,
J1653-4854,3.05951,3.45e-15
J1654-23,0.54536,
