NAME,P0,P1
J0405+3347,0.063954,1.64e-19
J0406+30,0.0026,
J0406+3039,0.002609,8.310000000000001e-21
B0402+61,0.594576,5.57e-15
J0407+1607,0.025702,7.9e-20
J0408+4955_P,0.01144,
J0408+551,1.837,
J0408+552,0.754,
J0410-31,1.8785,
J0413+58,0.687,
J0414+31,1.081,
J0414+4859_P,0.80672,
J0415+6111,0.440189,5.01e-17
B0410+69,0.390715,7.66e-17
J0416+5201_P,0.01825,
J0417+35,0.6544,
J0417+5058_P,0.29136,
J0417+61,0.440283,
J0418+5732,9.078388,4.1e-15
J0418+6635,0.00291,1.37e-20
J0418-4154,0.757119,1.32e-15
J0419+44,1.241,
J0420+4451,1.241126,5.92e-16
J0420-5022,3.453004,2.76e-14
J0421+3255,0.900105,6e-17
J0421-0345,2.161309,1.16e-15
J0426+4933,0.922475,3.93e-14
J0427+4723,2.158436,2.39e-14
J0435+2749,0.326279,8.17e-18
J0437-4715,0.005757,5.73e-20
J0447+2447,0.002995,8.000000000000001e-21
J0447-04,2.18819,
J0448-2749,0.450448,1.48e-16
J0449-7031,0.479164,3.37e-15
B0447-12,0.438014,1.03e-16
J0451-67,0.245454,0.0
B0450-18,0.548939,5.75e-15
J0452-3418,1.665119,2.77e-15
J0453+1559,0.045782,1.86e-19
J0454+4529,1.389137,4.89e-15
B0450+55,0.340729,2.37e-15
B0456-69,0.320423,1.02e-14
J0456-69,0.117073,
J0456-7031,0.800132,3.67e-14
J0457+23,0.5049,
J0457-6337,2.497012,2.1e-16
J0457-69,0.23139,
J0458-0505,1.88348,5.3e-16
J0458-67,1.1339,
J0459-0210,1.133077,1.4e-15
J0501+4516,5.762097,5.82e-12
B0458+46,0.638565,5.58e-15
B0502-66,0.691251,2.31e-14
J0506+50,0.00339,
J0509+0856,0.004056,4.41e-21
J0509+37,2.4961,
J0509+3801,0.076541,7.93e-18
J0509-6838,0.278754,
J0509-6845,0.307197,
J0511-6508,0.322062,2.07e-16
J0514+4010_P,2.62549,
J0514-4002A,0.004991,6.97e-22
J0514-4002B,0.002816,
J0514-4002C,0.005565,
J0514-4002D,0.004554,
J0514-4002E,0.005596,-2.29e-30
J0514-4002F,0.004329,
J0514-4002G,0.003803,
J0514-4002H,0.005506,
J0514-4002I,0.032654,
J0514-4002J,0.006633,
J0514-4002K,0.004692,
J0514-4002L,0.002959,
J0514-4002M,0.004798,
J0514-4002N,0.005568,
J0514-4408,0.320271,2.04e-15
J0517+2212,0.222367,1.16e-17
J0517+3436_P,1.59584,
J0518+2431,2.63694,6.86e-16
J0518+5125,0.912512,1.91e-16
J0518+5416,0.340203,1.68e-15
J0518-6939,0.33021,
J0518-6946,1.690414,
J0519+44,0.515,
J0519-6931,0.377736,
J0519-6932,0.263212,6.97e-16
J0520+3722_P,0.00792,
J0520-2553,0.241642,3.01e-17
J0521-68,0.433421,
J0522-6847,0.674532,1.77e-14
J0523-7125,0.3225,
B0523+11,0.354438,7.36e-17
J0525-6607,8.047,6.5e-11
J0526+3158_P,0.023,
B0525+21,3.745539,4.01e-14
J0528+3529_P,0.07824,
J0529-0715,0.689224,5.75e-16
B0529-66,0.975737,1.55e-14
J0530-3847,0.906502,6.21e-16
J0530-39,0.907,
J0532-6639,0.642743,5.35e-15
J0532-69,1.149196,
J0533+0402,0.963018,1.61e-16
J0533+6759,0.004388,1.26e-20
J0533-4524,0.157285,2.8e-16
B0531+21,0.033392,4.21e-13
J0534+34,,
J0534-13,0.979,
J0534-6703,1.817565,4.25e-13
J0534-6905,0.842782,
J0535-66,0.210524,
J0535-6935,0.200511,1.15e-14
B0538-75,1.245856,5.75e-16
J0537-69,0.112613,
J0537-6910,0.016122,5.18e-14
J0538+2817,0.143158,3.67e-15
J0540+3207,0.524271,4.48e-16
J0540+4542,0.401141,1.17e-17
B0540-69,0.05057,4.79e-13
J0540-7125,1.286015,8.2e-16
J0541+2959_P,0.00321,
J0541+3335_P,0.11365,
J0542-68,0.425189,
B0540+23,0.245975,1.54e-14
J0543-6851,0.708954,3.94e-15
J0544+20,,
J0545-03,1.07393,
J0546+2441,2.84385,7.65e-15
J0550+09,1.745,
J0553+4111,0.559493,1.37e-17
J0554+3107,0.464961,1.43e-13
J0555+3948,1.146906,
J0555-7056,0.827838,5.96e-15
J0556-67,0.790549,
J0557+1550,0.002556,7.35e-21
J0557+2442_P,1.48216,
J0557-2948,0.043643,7.3e-20
B0559-57,2.261365,2.78e-15
B0559-05,0.395969,1.3e-15
J0605+1937_P,0.69819,
J0605+3757,0.002728,4.72e-21
J0608+00,1.0762,
J0608+1635,0.945845,1.35e-14
J0609+2130,0.055698,2.35e-19
J0610-2100,0.003861,1.23e-20
J0611+04,1.67443,
J0611+1436,0.270329,4e-15
J0611+30,1.41209,
B0609+37,0.297982,5.95e-17
J0612+37216,0.443871,1.5e-16
J0613+3731,0.619198,3.24e-15
J0613-0200,0.003062,9.59e-21
B0611+22,0.33496,5.94e-14
J0614+83,1.0392,
J0614-3329,0.003149,1.74e-20
J0620+1711_P,0.44103,
J0621+0336,0.269954,7.22e-17
J0621+1002,0.028854,4.73e-20
J0621+2514,0.002722,2.48e-20
J0621-55,,
J0622+0339_P,0.00877,
J0622+3749,0.333208,2.54e-14
J0623+0220_P,0.4722,
J0623+0340,0.61376,8.84e-17
B0621-04,1.039077,8.3e-16
J0625+10,0.498397,
J0625+1403_P,0.72791,
J0627+0649,0.346523,1.7e-15
J0627+0706,0.475885,2.98e-14
J0627+16,2.18,
J0628+0909,1.241421,5.48e-16
B0626+24,0.476623,2e-15
J0630+1002_P,2.88147,
J0630+19,1.24855,
J0630-0046,0.680575,3.75e-15
B0628-28,1.244427,7.12e-15
J0631+0646,0.110979,3.62e-15
J0631+1036,0.287841,1.03e-13
J0633+0632,0.297395,7.96e-14
J0633+1746,0.237099,1.1e-14
J0633-2015,3.253211,3.82e-15
J0635+0533,0.033856,
J0636+5128,0.002869,3.45e-21
J0636-23,0.476,
J0636-3044,0.003946,
J0636-4549,1.984597,3.17e-15
J0637+0332_P,,
J0639+0828_P,,
J0639-0704,0.986486,1.63e-16
J0640-0139,0.003461,4.9e-20
J0641+0359_P,0.64621,
J0641+0448_P,0.02567,
J0641+07,,
J0642+0238_P,0.72913,
J0643+0350_P,1.14486,
J0645+5158,0.008853,4.920000000000001e-21
J0645+80,0.65787,
J0646+0905,0.903913,7.36e-16
J0646-54,0.00251,
J0647+0913,1.234854,6.42e-15
J0648-27,4.169,
J0651-0055_P,1.0507,
J0652-0142,0.924054,1.52e-16
J0653+0443_P,0.04753,
J0653+4706,0.004758,2.08e-20
B0643+80,1.214441,3.8e-15
J0653-06,0.79,
J0656-2228,1.224754,2.67e-17
J0656-5449,0.183157,3.19e-17
J0658+0022,0.563295,9.15e-15
J0658+2936,0.823701,1.44e-15
B0656+14,0.384929,5.49e-14
J0659-36,0.637,
B0655+64,0.195671,6.85e-19
J0702-4956,0.665994,
J0709+0458,0.034429,3.8e-19
J0709-5923,0.485268,1.26e-16
J0711+0931,1.21409,4e-16
J0711-6830,0.005491,1.49e-20
J0719-2545,0.974729,7.24e-15
